Jul 14, 2023  04:44:08 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1022, Volts
CEM Gain, 1.31E+003 
Sensitivity Factor, 2.13E-004 
Filament Current, 1.00, mAmps


  1.00,   1.93E-011, 
  1.10,   5.46E-011, 
  1.20,   1.74E-010, 
  1.30,   2.15E-010, 
  1.40,   1.89E-010, 
  1.50,   4.82E-010, 
  1.60,   1.86E-009, 
  1.70,   5.58E-009, 
  1.80,   8.73E-009, 
  1.90,   1.07E-008, 
  2.00,   1.11E-008, 
  2.10,   1.02E-008, 
  2.20,   8.30E-009, 
  2.30,   4.27E-009, 
  2.40,   2.11E-009, 
  2.50,   1.13E-009, 
  2.60,   6.77E-010, 
  2.70,   3.64E-010, 
  2.80,   2.70E-010, 
  2.90,   2.09E-010, 
  3.00,   1.33E-010, 
  3.10,   7.01E-011, 
  3.20,   4.09E-011, 
  3.30,  -6.21E-011, 
  3.40,  -1.69E-011, 
  3.50,  -6.91E-011, 
  3.60,  -1.93E-011, 
  3.70,  -4.70E-012, 
  3.80,  -4.19E-011, 
  3.90,  -9.64E-011, 
  4.00,  -8.51E-011, 
  4.10,  -4.42E-011, 
  4.20,   1.79E-011, 
  4.30,  -4.47E-011, 
  4.40,  -3.15E-011, 
  4.50,  -7.57E-011, 
  4.60,  -1.28E-010, 
  4.70,  -4.75E-011, 
  4.80,   3.29E-012, 
  4.90,   2.35E-012, 
  5.00,  -4.14E-011, 
  5.10,  -1.02E-010, 
  5.20,  -1.08E-010, 
  5.30,  -1.07E-010, 
  5.40,  -1.03E-010, 
  5.50,  -1.37E-010, 
  5.60,  -1.54E-010, 
  5.70,  -1.08E-010, 
  5.80,  -1.04E-010, 
  5.90,  -5.69E-011, 
  6.00,   2.96E-011, 
  6.10,   3.76E-011, 
  6.20,  -4.23E-011, 
  6.30,  -7.95E-011, 
  6.40,  -1.12E-010, 
  6.50,  -1.18E-010, 
  6.60,  -1.27E-010, 
  6.70,  -1.38E-010, 
  6.80,  -1.20E-010, 
  6.90,  -1.42E-010, 
  7.00,  -1.45E-010, 
  7.10,  -7.48E-011, 
  7.20,  -6.21E-011, 
  7.30,  -2.96E-011, 
  7.40,  -1.02E-010, 
  7.50,  -1.08E-010, 
  7.60,  -9.27E-011, 
  7.70,  -8.14E-011, 
  7.80,  -1.27E-010, 
  7.90,  -1.41E-010, 
  8.00,  -1.67E-010, 
  8.10,  -1.17E-010, 
  8.20,  -7.06E-011, 
  8.30,  -1.05E-010, 
  8.40,  -1.13E-010, 
  8.50,  -1.59E-010, 
  8.60,  -1.39E-010, 
  8.70,  -1.35E-010, 
  8.80,  -1.27E-010, 
  8.90,  -1.46E-010, 
  9.00,  -1.43E-010, 
  9.10,  -1.39E-010, 
  9.20,  -1.18E-010, 
  9.30,  -1.12E-010, 
  9.40,  -9.27E-011, 
  9.50,  -7.29E-011, 
  9.60,  -8.80E-011, 
  9.70,  -1.04E-010, 
  9.80,  -1.26E-010, 
  9.90,  -6.35E-011, 
 10.00,  -8.14E-011, 
 10.10,  -1.54E-010, 
 10.20,  -1.57E-010, 
 10.30,  -9.27E-011, 
 10.40,  -8.37E-011, 
 10.50,  -1.09E-010, 
 10.60,  -8.89E-011, 
 10.70,  -1.33E-010, 
 10.80,  -1.03E-010, 
 10.90,  -1.05E-010, 
 11.00,  -1.38E-010, 
 11.10,  -1.62E-010, 
 11.20,  -1.29E-010, 
 11.30,  -1.43E-010, 
 11.40,  -8.98E-011, 
 11.50,  -2.87E-011, 
 11.60,   9.60E-011, 
 11.70,   2.77E-010, 
 11.80,   3.96E-010, 
 11.90,   4.51E-010, 
 12.00,   4.68E-010, 
 12.10,   4.23E-010, 
 12.20,   2.42E-010, 
 12.30,   6.54E-011, 
 12.40,   1.41E-011, 
 12.50,   4.70E-012, 
 12.60,  -7.06E-012, 
 12.70,  -8.47E-012, 
 12.80,   1.08E-011, 
 12.90,  -4.52E-011, 
 13.00,   2.35E-012, 
 13.10,  -1.27E-010, 
 13.20,  -1.04E-010, 
 13.30,  -6.40E-011, 
 13.40,  -8.47E-011, 
 13.50,  -3.39E-011, 
 13.60,   1.46E-011, 
 13.70,   5.83E-011, 
 13.80,   7.48E-011, 
 13.90,   6.54E-011, 
 14.00,   4.94E-011, 
 14.10,   4.05E-011, 
 14.20,   1.98E-011, 
 14.30,  -2.82E-012, 
 14.40,   1.41E-012, 
 14.50,   1.03E-011, 
 14.60,  -5.36E-011, 
 14.70,   2.82E-012, 
 14.80,   3.15E-011, 
 14.90,   4.56E-011, 
 15.00,  -4.70E-012, 
 15.10,  -8.61E-011, 
 15.20,  -1.24E-010, 
 15.30,  -1.39E-010, 
 15.40,  -5.32E-011, 
 15.50,   4.52E-011, 
 15.60,   3.40E-010, 
 15.70,   7.04E-010, 
 15.80,   1.04E-009, 
 15.90,   1.30E-009, 
 16.00,   1.43E-009, 
 16.10,   1.29E-009, 
 16.20,   7.81E-010, 
 16.30,   4.01E-010, 
 16.40,   3.35E-010, 
 16.50,   4.20E-010, 
 16.60,   1.02E-009, 
 16.70,   1.90E-009, 
 16.80,   2.74E-009, 
 16.90,   3.18E-009, 
 17.00,   3.44E-009, 
 17.10,   3.28E-009, 
 17.20,   2.02E-009, 
 17.30,   1.11E-009, 
 17.40,   8.33E-010, 
 17.50,   1.34E-009, 
 17.60,   3.94E-009, 
 17.70,   7.50E-009, 
 17.80,   1.08E-008, 
 17.90,   1.22E-008, 
 18.00,   1.27E-008, 
 18.10,   1.17E-008, 
 18.20,   6.11E-009, 
 18.30,   2.71E-009, 
 18.40,   1.40E-009, 
 18.50,   8.43E-010, 
 18.60,   5.64E-010, 
 18.70,   3.27E-010, 
 18.80,   2.11E-010, 
 18.90,   1.49E-010, 
 19.00,   1.27E-010, 
 19.10,   8.04E-011, 
 19.20,   3.34E-011, 
 19.30,   1.83E-011, 
 19.40,  -6.26E-011, 
 19.50,  -4.33E-011, 
 19.60,  -5.64E-012, 
 19.70,   3.81E-011, 
 19.80,   2.96E-011, 
 19.90,  -8.98E-011, 
 20.00,  -1.38E-010, 
 20.10,  -1.75E-010, 
 20.20,  -1.69E-010, 
 20.30,  -1.03E-010, 
 20.40,  -9.83E-011, 
 20.50,  -9.92E-011, 
 20.60,  -1.24E-010, 
 20.70,  -1.54E-010, 
 20.80,  -1.83E-010, 
 20.90,  -1.75E-010, 
 21.00,  -1.81E-010, 
 21.10,  -1.93E-010, 
 21.20,  -1.93E-010, 
 21.30,  -1.04E-010, 
 21.40,  -4.52E-011, 
 21.50,  -8.18E-011, 
 21.60,  -1.48E-010, 
 21.70,  -1.01E-010, 
 21.80,  -3.81E-011, 
 21.90,  -2.21E-011, 
 22.00,  -9.17E-011, 
 22.10,  -5.50E-011, 
 22.20,  -7.20E-011, 
 22.30,  -1.17E-010, 
 22.40,  -1.28E-010, 
 22.50,  -1.45E-010, 
 22.60,  -6.44E-011, 
 22.70,  -7.20E-011, 
 22.80,  -7.57E-011, 
 22.90,  -1.03E-011, 
 23.00,  -5.27E-011, 
 23.10,  -9.55E-011, 
 23.20,  -1.24E-010, 
 23.30,  -1.53E-010, 
 23.40,  -1.06E-010, 
 23.50,  -1.54E-010, 
 23.60,  -1.27E-010, 
 23.70,  -1.42E-010, 
 23.80,  -1.71E-010, 
 23.90,  -1.82E-010, 
 24.00,  -1.37E-010, 
 24.10,  -1.27E-010, 
 24.20,  -6.40E-011, 
 24.30,  -5.93E-011, 
 24.40,  -1.32E-010, 
 24.50,  -1.35E-010, 
 24.60,  -9.83E-011, 
 24.70,  -1.19E-010, 
 24.80,  -6.96E-011, 
 24.90,  -5.32E-011, 
 25.00,  -1.03E-010, 
 25.10,  -6.16E-011, 
 25.20,  -6.54E-011, 
 25.30,  -9.55E-011, 
 25.40,  -1.33E-010, 
 25.50,  -1.46E-010, 
 25.60,  -1.51E-010, 
 25.70,  -7.20E-011, 
 25.80,  -2.92E-011, 
 25.90,  -6.11E-012, 
 26.00,  -3.76E-011, 
 26.10,  -8.04E-011, 
 26.20,  -7.24E-011, 
 26.30,  -8.00E-011, 
 26.40,  -7.95E-011, 
 26.50,  -1.13E-010, 
 26.60,  -1.13E-010, 
 26.70,  -6.77E-011, 
 26.80,   1.88E-012, 
 26.90,   5.64E-012, 
 27.00,  -3.01E-011, 
 27.10,  -3.76E-012, 
 27.20,  -7.15E-011, 
 27.30,   1.03E-011, 
 27.40,   1.30E-010, 
 27.50,   4.49E-010, 
 27.60,   1.42E-009, 
 27.70,   2.65E-009, 
 27.80,   3.99E-009, 
 27.90,   4.75E-009, 
 28.00,   4.97E-009, 
 28.10,   4.70E-009, 
 28.20,   2.59E-009, 
 28.30,   1.27E-009, 
 28.40,   6.90E-010, 
 28.50,   3.67E-010, 
 28.60,   2.35E-010, 
 28.70,   1.19E-010, 
 28.80,   1.01E-010, 
 28.90,   8.65E-011, 
 29.00,   6.35E-011, 
 29.10,   7.53E-012, 
 29.20,   1.74E-011, 
 29.30,  -8.28E-011, 
 29.40,  -9.22E-011, 
 29.50,  -3.29E-011, 
 29.60,   2.63E-011, 
 29.70,   1.98E-010, 
 29.80,   4.06E-010, 
 29.90,   4.84E-010, 
 30.00,   5.50E-010, 
 30.10,   5.08E-010, 
 30.20,   2.70E-010, 
 30.30,   1.16E-010, 
 30.40,   3.06E-011, 
 30.50,  -1.41E-011, 
 30.60,  -5.17E-011, 
 30.70,  -1.83E-011, 
 30.80,  -5.64E-011, 
 30.90,  -9.64E-011, 
 31.00,  -9.92E-011, 
 31.10,  -1.13E-010, 
 31.20,  -1.25E-010, 
 31.30,  -1.25E-010, 
 31.40,  -7.48E-011, 
 31.50,  -5.64E-012, 
 31.60,   8.84E-011, 
 31.70,   2.96E-010, 
 31.80,   4.22E-010, 
 31.90,   5.47E-010, 
 32.00,   5.93E-010, 
 32.10,   6.00E-010, 
 32.20,   2.53E-010, 
 32.30,   5.50E-011, 
 32.40,  -1.00E-010, 
 32.50,  -1.59E-010, 
 32.60,  -1.41E-010, 
 32.70,  -1.32E-010, 
 32.80,  -8.56E-011, 
 32.90,  -9.78E-011, 
 33.00,  -1.24E-010, 
 33.10,  -1.20E-010, 
 33.20,  -2.40E-011, 
 33.30,  -3.57E-011, 
 33.40,  -1.68E-010, 
 33.50,  -1.93E-010, 
 33.60,  -2.29E-010, 
 33.70,  -2.06E-010, 
 33.80,  -1.33E-010, 
 33.90,  -1.43E-010, 
 34.00,  -2.09E-010, 
 34.10,  -2.17E-010, 
 34.20,  -1.18E-010, 
 34.30,  -1.23E-010, 
 34.40,  -1.68E-010, 
 34.50,  -1.64E-010, 
 34.60,  -1.56E-010, 
 34.70,  -1.98E-010, 
 34.80,  -2.12E-010, 
 34.90,  -1.69E-010, 
 35.00,  -1.15E-010, 
 35.10,  -1.01E-010, 
 35.20,  -1.39E-010, 
 35.30,  -1.03E-010, 
 35.40,  -1.09E-010, 
 35.50,  -1.38E-010, 
 35.60,  -1.56E-010, 
 35.70,  -1.53E-010, 
 35.80,  -1.61E-010, 
 35.90,  -1.81E-010, 
 36.00,  -1.85E-010, 
 36.10,  -1.62E-010, 
 36.20,  -1.23E-010, 
 36.30,  -3.48E-011, 
 36.40,  -7.62E-011, 
 36.50,  -1.76E-010, 
 36.60,  -1.65E-010, 
 36.70,  -1.97E-010, 
 36.80,  -1.72E-010, 
 36.90,  -1.59E-010, 
 37.00,  -1.73E-010, 
 37.10,  -1.54E-010, 
 37.20,  -1.69E-010, 
 37.30,  -1.83E-010, 
